Quantity_Sold_(kilo),Unit Selling Price (RMB/kg),Category Name,Loss Rate (%),Weekday,IsWeekend,Item Name
6.841,6.0,Flower/Leaf Vegetables,18.52,Wednesday,False,Amaranth
1.909,16.0,Capsicum,15.98,Wednesday,False,7 Colour Pepper (1)
5.4719999999999995,14.0,Flower/Leaf Vegetables,18.51,Wednesday,False,Spinach
4.119,10.0,Aquatic Tuberous Vegetables,29.25,Wednesday,False,High Melon (1)
10.0,6.85,Flower/Leaf Vegetables,2.48,Wednesday,False,Wawacai
0.783,16.0,Edible Mushroom,9.89,Wednesday,False,Haixian Mushroom (1)
22.402,4.931034482758621,Flower/Leaf Vegetables,8.42,Wednesday,False,Hongshujian
4.383,25.8,Capsicum,5.86,Wednesday,False,Millet Pepper
11.888,10.0,Edible Mushroom,5.05,Wednesday,False,Apricot Bao Mushroom (1)
1.953,14.0,Capsicum,8.93,Wednesday,False,The Red Bell Pepper (1)
2.623,16.0,Flower/Leaf Vegetables,26.16,Wednesday,False,Foreign Garland Chrysanthemum 
18.271,8.0,Flower/Leaf Vegetables,9.43,Wednesday,False,Sweet Chinese Cabbage
12.086,9.0,Cabbage,17.06,Wednesday,False,Qinggengsanhua
0.7310000000000001,39.8,Aquatic Tuberous Vegetables,24.05,Wednesday,False,Honghu Lotus Root
5.51,14.0,Capsicum,7.8,Wednesday,False,Green Line Pepper
6.5489999999999995,9.0,Flower/Leaf Vegetables,15.61,Wednesday,False,Huangbaicai (2)
54.548,7.6,Capsicum,7.08,Wednesday,False,Paopaojiao (Jingpin)
2.129,18.0,Capsicum,9.99,Wednesday,False,Red Hang Pepper
0.927,12.0,Capsicum,16.33,Wednesday,False,Bell Pepper (1)
4.837,8.0,Flower/Leaf Vegetables,10.64,Wednesday,False,Yellow Xincai (1)
1.138,14.0,Edible Mushroom,8.99,Wednesday,False,Jigu Mushroom (1)
41.966,8.0,Flower/Leaf Vegetables,15.25,Wednesday,False,Yunnan Shengcai
11.352,6.0,Flower/Leaf Vegetables,13.62,Wednesday,False,Zhuyecai
4.288,16.0,Flower/Leaf Vegetables,7.59,Wednesday,False,Chinese Cabbage
11.476,10.0,Flower/Leaf Vegetables,14.43,Wednesday,False,Shanghaiqing
3.039,7.0,Flower/Leaf Vegetables,7.61,Wednesday,False,Muercai
14.748,3.2,Flower/Leaf Vegetables,22.27,Wednesday,False,Chinese Cabbage
32.579,6.0,Flower/Leaf Vegetables,12.81,Wednesday,False,Yunnan Lettuces
8.959,8.0,Flower/Leaf Vegetables,13.7,Wednesday,False,Caixin
2.512,10.0,Capsicum,11.76,Wednesday,False,Red Pepper (1)
17.661,6.0,Solanum,6.07,Wednesday,False,Eggplant (2)
17.713,4.0,Solanum,5.01,Wednesday,False,Green Eggplant (1)
7.693,17.95,Edible Mushroom,13.82,Wednesday,False,Xixia Mushroom (1)
