Unit Selling Price (RMB/kg),Category Name,Loss Rate (%),Weekday,IsWeekend,Item Name
1.7857142857142858,Flower/Leaf Vegetables,9.43,Sunday,True,Hongshujian (Bag)
4.011111111111111,Capsicum,9.43,Sunday,True,Red Hang Pepper (Bag)
3.760869565217391,Capsicum,9.43,Sunday,True,Green Line Pepper (Bag)
4.9,Capsicum,9.43,Sunday,True,Red Hot Peppers (Bag)
5.9,Capsicum,9.43,Sunday,True,Luosi Pepper (Bag)
23.72,Capsicum,9.43,Sunday,True,7 Colour Pepper (2)
1.854285714285714,Flower/Leaf Vegetables,9.43,Sunday,True,Zhuyecai (Bag)
3.9,Capsicum,9.43,Sunday,True,Ginger And Xiaomijiao Mix (Small Bag)
2.972093023255814,Flower/Leaf Vegetables,9.43,Sunday,True,Powcan Mountain Chinese Cabbage 
2.9,Flower/Leaf Vegetables,9.43,Sunday,True,Xiaoqingcai (Bag)
9.627272727272729,Edible Mushroom,9.43,Sunday,True,Needle Mushroom (2)
6.0,Solanum,9.43,Sunday,True,Green Eggplant (2)
10.0,Cabbage,9.43,Sunday,True,Zhijiang Qinggengsanhua
6.5,Flower/Leaf Vegetables,9.43,Sunday,True,Chinese Cabbage (Bag)
3.560606060606061,Flower/Leaf Vegetables,9.43,Sunday,True,Cabbage Stem (Bag)
4.6241379310344835,Edible Mushroom,0.2,Sunday,True,Agaricus Bisporus (Box)
29.6,Aquatic Tuberous Vegetables,24.05,Sunday,True,Honghu Lotus Root
6.0,Flower/Leaf Vegetables,15.61,Sunday,True,Huangbaicai (2)
2.5,Edible Mushroom,0.45,Sunday,True,Needle Mushroom (Box)
9.154166666666669,Flower/Leaf Vegetables,9.43,Sunday,True,Huangxincai (2)
2.3,Capsicum,9.43,Sunday,True,Green Hang Pepper (Bag)
4.9,Capsicum,9.43,Sunday,True,Millet Pepper (Bag)
3.9,Capsicum,9.43,Sunday,True,Green Hot Peppers (Bag)
2.6999999999999997,Capsicum,9.43,Sunday,True,Xiaozhoupi (Bag)
3.2,Flower/Leaf Vegetables,18.52,Sunday,True,Amaranth
7.0,Flower/Leaf Vegetables,14.43,Sunday,True,Shanghaiqing
6.6,Flower/Leaf Vegetables,12.81,Sunday,True,Yunnan Lettuces
7.0,Solanum,6.07,Sunday,True,Eggplant (2)
23.6,Edible Mushroom,13.82,Sunday,True,Xixia Mushroom (1)
9.18952380952381,Cabbage,9.26,Sunday,True,Broccoli
9.2,Aquatic Tuberous Vegetables,5.54,Sunday,True,Net Lotus Root (1)
