Date,Item Code,Quantity Sold (kilo),Unit Selling Price (RMB/gram),Item Name_x,Category Code,Category Name,Wholesale Price (RMB/kg),Item Name_y,Weekday,IsWeekend,Loss Rate (%)_entropy
2021-08-08,102900005116530,12.668,0.02380952381,Xixia Mushroom (1),1011010801,Edible Mushroom,16,Xixia Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,13.82_19.583806927100305
2021-04-08,102900005118817,8.642,0.007,Spinach,1011010101,Flower/Leaf Vegetables,4.22,Spinach,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,18.51_0.9968519696893461
2021-04-07,106958851400125,4,0.0039,Haixian Mushroom (Bag) (4),1011010801,Edible Mushroom,1.99,Haixian Mushroom (Bag) (4),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.13_4.849281397757599
2021-07-09,102900051004294,2.693,0.006,Green Line Pepper,1011010504,Capsicum,2.6,Green Line Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.8_-0.8063102160442335
2020-09-08,102900005116547,5.571,0.01,Needle Mushroom (1),1011010801,Edible Mushroom,4.94,Needle Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,3.43_0.5456112799720376
2020-07-28,102900005116257,17.651,0.008641176471,Eggplant (2),1011010501,Solanum,5.72,Eggplant (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.07_-28.198361284223285
2021-06-21,102900051010455,4.771,0.007,Huangbaicai (2),1010101,Flower/Leaf Vegetables,3.73,Huangbaicai (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.61_7.7927316456759215
2021-1-1,102900005119944,0.322,0.014,Haixian Mushroom (1),1011010801,Edible Mushroom,10.04,Haixian Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.89_0.9663034459469653
2021-04-17,102900011009444,2.025,0.01,missing,1011010501,Solanum,5.92,Dalong Eggplant,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.94_2.845819937026304
2020-12-21,102900011008522,4.097,0.007,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,3.61,Sweet Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.43_13.687366163194262
2021-09-25,106949711300167,12,0.0029,Needle Mushroom (Bag) (2),1011010801,Edible Mushroom,1.68,Needle Mushroom (Bag) (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.64_4.993059952141212
2021-09-01,102900005115984,8.051,0.008,Yunnan Lettuces,1010101,Flower/Leaf Vegetables,4.5,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_9.540376040679003
2021-06-15,102900005116943,0.176,0.012,missing,1011010504,Capsicum,6.25,Red Hang Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.99_0.48933391153774436
2021-12-17,102900011023464,3.409,0.005,Xiaoqingcai (1),1011010101,Flower/Leaf Vegetables,2.54,Xiaoqingcai (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.33_5.529131111183178
2021-09-22,102900051000463,2.27,0.007,Round Eggplant (2),1010501,Solanum,3.74,Round Eggplant (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.71_5.760115951828576
